assay,sample,level,N,total_sd,total_cv,instr_sd,instr_cv,day_sd,day_cv
ALB,Control H,4.474904494310345,29,0.09398833996201603,2.10034292534105,0.08159224104085466,1.8233292161787094,0,0
ALB,Control L,2.651074619916667,36,0.06539248836265603,2.4666408056334364,0.05075178129326404,1.9143852425722878,0,0
ALB,Control M,3.541319610895833,48,0.07661953739366394,2.1635871881748003,0.061767972875479325,1.744207799980362,0,0
ALP,Control H,304.3836572111111,27,6.204549070385872,2.0383975694472283,1.991310155887845,0.6542106018874508,2.5480224836659455,0.8371088339669681
ALP,Control L,26.096770515588236,34,1.2763246743581786,4.890738007585264,0.8408249790345682,3.2219503119450086,0,0
ALP,Control M,145.86782899268292,41,2.1457389885069533,1.4710159212793856,0,0,0.7706634846014554,0.5283299888148152
ALT,Control H,167.62997071724138,29,5.847198666241307,3.4881582578716643,2.05999598415733,1.2288947944947959,0.774933572296339,0.4622881988111176
ALT,Control L,66.865405759375,32,3.050351701869756,4.561928051176262,0,0,1.1744763382802956,1.7564782938831205
ALT,Control M,93.57546352272728,44,2.961986038623486,3.1653447678665136,0,0,1.9529614448666182,2.0870443718318206
AMY,Control H,87.80029872862069,29,18.626579655697725,21.214711026519467,16.889548691037696,19.236322581590635,0,0
AMY,Control L,-201.9600987685294,34,31.599615246789458,-15.646464543972334,1.984132424078968,-0.9824378360762354,3.2477579854939282,-1.6081186359570214
AMY,Control M,-92.32568703832608,46,18.219397224721334,-19.733833355779012,9.510217326946284,-10.300727383700291,4.863114943815521,-5.26734769035269
AST,Control H,181.42862068965516,29,5.786057196363092,3.1891645179072925,3.801207410911236,2.0951531221821034,1.1539657839514152,0.6360439601893599
AST,Control L,25.42529411764706,34,6.335368026331255,24.917580095697044,0,0,3.2277177955449665,12.694908387725155
AST,Control M,87.94130434782609,46,3.8332985582658776,4.358928477003692,0.8200038256872442,0.9324444659632964,1.95130449080758,2.2188714453105747
BUN,Control H,67.18052781310345,29,4.049577541098114,6.027903728836513,2.3728507378294035,3.5320513474241904,0,0
BUN,Control L,15.072619843529411,34,1.0466526716077444,6.9440660115704205,0.29655967987842885,1.967539040704594,0.708560213368059,4.700975813917577
BUN,Control M,39.10058128195652,46,1.9147890926519786,4.8970860019812115,0.4349713341530207,1.1124421169506855,1.1276482229898883,2.8839679258432316
CHOL,Control H,241.2510088862069,29,5.131186197040353,2.12690766381857,4.438415017651358,1.8397498265985972,0,0
CHOL,Control L,96.91629624583334,36,1.29263019227089,1.3337593803544296,0.43958291193856897,0.4535696564626691,0,0
CHOL,Control M,169.00898439166667,48,2.2757802725379017,1.3465439608014789,0.9183335075609071,0.5433637216780929,0,0
CK,Control H,556.5663003566667,30,22.735267160087876,4.084916234690878,19.8930307693766,3.574242773345865,2.3912537003585372,0.42964399727869623
CK,Control L,72.52855416685715,35,6.036876965178365,8.323448653464256,2.411810883611815,3.3253260199607326,2.6117201554430065,3.600954390231683
CK,Control M,233.63547591136364,44,9.699679387817772,4.151629520294951,7.2068979107377515,3.08467619595232,2.23189886900419,0.9552910833844964
CREA,Control H,6.221152587592592,27,0.10271457009876304,1.651053701907521,0.07309562233396714,1.174953054193661,0.025998870438681716,0.41791083039071597
CREA,Control L,0.7380403470970588,34,0.06394703750932719,8.664436539391199,0.03571216831788906,4.838782657121128,0.016393280873372978,2.221190337066642
CREA,Control M,1.7786508091428572,42,0.06489233114534582,3.6484019691654836,0.040408196731151744,2.271845407959795,0.02633352207722088,1.4805335562133843
Ca,Control H,11.569196528965517,29,0.6118955708982204,5.289006625189851,0.5218868567267488,4.511003468737984,0.0943469354451507,0.8155011906741888
Ca,Control L,6.20089772721875,32,0.3627438800934951,5.849860714541963,0.2541163090702204,4.098056769341326,0.03977898040339452,0.6415035717938914
Ca,Control M,9.310688713933333,45,0.7985154986498869,8.57633117359963,0.2598696633903865,2.791089589339344,0,0
GLU,Control H,312.8972043896552,29,5.910816403324053,1.8890601515132848,4.773995568392799,1.5257392847932498,0,0
GLU,Control L,53.938864109722225,36,1.0155392700277939,1.882759837066624,0.5405028983674919,1.0020657781521,0,0
